year,gender,race,age_group,death_cause,population,deaths,capita
2009,Female,B,65-74,O,83743,0,0
2009,Female,B,75-84,O,39488,0,0
2009,Female,B,85+,O,13435,0,0
2009,Female,B,10-14,M,180080,0,0
2009,Female,B,15-19,M,190253,0,0
2009,Female,B,20-24,M,168633,0,0
2009,Female,B,25-34,M,305210,0,0
2009,Female,B,35-44,M,278857,0,0
2009,Female,B,45-54,M,266667,0,0
2009,Female,B,55-64,M,170394,0,0
2009,Female,B,05-09,M,177914,0,0
2009,Female,B,65-74,M,83743,0,0
2009,Female,B,75-84,M,39488,0,0
2009,Female,B,85+,M,13435,0,0
2009,Female,B,10-14,B,180080,0,0
2009,Female,B,15-19,B,190253,0,0
2009,Female,B,20-24,B,168633,0,0
2009,Female,B,25-34,B,305210,0,0
2009,Female,B,35-44,B,278857,0,0
2009,Female,B,45-54,B,266667,0,0
2009,Female,B,55-64,B,170394,0,0
2009,Female,B,05-09,B,177914,0,0
2009,Female,B,65-74,B,83743,0,0
2009,Female,B,75-84,B,39488,0,0
2009,Female,B,85+,B,13435,0,0
2009,Female,B,10-14,I,180080,0,0
2009,Female,B,15-19,I,190253,0,0
2009,Female,B,20-24,I,168633,0,0
2009,Female,B,25-34,I,305210,1,0.327643262
2009,Female,B,35-44,I,278857,0,0
2009,Female,B,45-54,I,266667,0,0
2009,Female,B,55-64,I,170394,0,0
2009,Female,B,05-09,I,177914,0,0
2009,Female,B,65-74,I,83743,0,0
2009,Female,B,75-84,I,39488,0,0
2009,Female,B,85+,I,13435,0,0
2009,Female,B,10-14,J,180080,0,0
2009,Female,B,15-19,J,190253,0,0
2009,Female,B,20-24,J,168633,2,1.186007484
2009,Female,B,25-34,J,305210,0,0
2009,Female,B,35-44,J,278857,1,0.358606741
2009,Female,B,45-54,J,266667,1,0.374999531
2009,Female,B,55-64,J,170394,0,0
2009,Female,B,05-09,J,177914,0,0
2009,Female,B,65-74,J,83743,0,0
2009,Female,B,75-84,J,39488,0,0
2009,Female,B,85+,J,13435,0,0
2009,Female,B,10-14,C,180080,0,0
2009,Female,B,15-19,C,190253,0,0
2009,Female,B,20-24,C,168633,0,0
2009,Female,B,25-34,C,305210,0,0
2009,Female,B,35-44,C,278857,0,0
2009,Female,B,45-54,C,266667,0,0
2009,Female,B,55-64,C,170394,0,0
2009,Female,B,05-09,C,177914,0,0
2009,Female,B,65-74,C,83743,0,0
2009,Female,B,75-84,C,39488,0,0
2009,Female,B,85+,C,13435,0,0
2009,Female,B,10-14,K,180080,0,0
2009,Female,B,15-19,K,190253,0,0
2009,Female,B,20-24,K,168633,0,0
2009,Female,B,25-34,K,305210,1,0.327643262
2009,Female,B,35-44,K,278857,0,0
2009,Female,B,45-54,K,266667,0,0
2009,Female,B,55-64,K,170394,0,0
2009,Female,B,05-09,K,177914,0,0
2009,Female,B,65-74,K,83743,0,0
2009,Female,B,75-84,K,39488,0,0
2009,Female,B,85+,K,13435,0,0
2009,Female,B,10-14,L,180080,0,0
2009,Female,B,15-19,L,190253,0,0
2009,Female,B,20-24,L,168633,0,0
2009,Female,B,25-34,L,305210,0,0
2009,Female,B,35-44,L,278857,0,0
2009,Female,B,45-54,L,266667,0,0
2009,Female,B,55-64,L,170394,0,0
2009,Female,B,05-09,L,177914,0,0
2009,Female,B,65-74,L,83743,0,0
2009,Female,B,75-84,L,39488,0,0
2009,Female,B,85+,L,13435,0,0
2009,Female,C,10-14,P,532573,0,0
2009,Female,C,15-19,P,560930,0,0
2009,Female,C,20-24,P,634410,0,0
2009,Female,C,25-34,P,1486467,0,0
2009,Female,C,35-44,P,1416832,0,0
2009,Female,C,45-54,P,1196924,0,0
2009,Female,C,55-64,P,877831,0,0
2009,Female,C,05-09,P,561323,0,0
2009,Female,C,65-74,P,470755,0,0
2009,Female,C,75-84,P,258589,0,0
2009,Female,C,85+,P,87803,0,0
2009,Female,C,10-14,H,532573,0,0
2009,Female,C,15-19,H,560930,4,0.713101457
2009,Female,C,20-24,H,634410,6,0.945760628
2009,Female,C,25-34,H,1486467,11,0.740009701
2009,Female,C,35-44,H,1416832,16,1.129279971
2009,Female,C,45-54,H,1196924,11,0.919022427
2009,Female,C,55-64,H,877831,8,0.911337148
2009,Female,C,05-09,H,561323,0,0
2009,Female,C,65-74,H,470755,2,0.424849444
2009,Female,C,75-84,H,258589,5,1.93357026
2009,Female,C,85+,H,87803,1,1.138913249
2009,Female,C,10-14,G,532573,2,0.375535373
2009,Female,C,15-19,G,560930,10,1.782753641
2009,Female,C,20-24,G,634410,18,2.837281884
2009,Female,C,25-34,G,1486467,27,1.816387448
2009,Female,C,35-44,G,1416832,26,1.835079953
2009,Female,C,45-54,G,1196924,30,2.506424802
2009,Female,C,55-64,G,877831,19,2.164425727
2009,Female,C,05-09,G,561323,1,0.178150548
2009,Female,C,65-74,G,470755,7,1.486973054
2009,Female,C,75-84,G,258589,6,2.320284312
2009,Female,C,85+,G,87803,5,5.694566245
2009,Female,C,10-14,D,532573,0,0
2009,Female,C,15-19,D,560930,0,0
2009,Female,C,20-24,D,634410,1,0.157626771
2009,Female,C,25-34,D,1486467,1,0.067273609
2009,Female,C,35-44,D,1416832,2,0.141159996
2009,Female,C,45-54,D,1196924,4,0.334189974
2009,Female,C,55-64,D,877831,2,0.227834287
2009,Female,C,05-09,D,561323,0,0
2009,Female,C,65-74,D,470755,1,0.212424722
2009,Female,C,75-84,D,258589,1,0.386714052
2009,Female,C,85+,D,87803,0,0
2009,Female,C,10-14,F,532573,0,0
2009,Female,C,15-19,F,560930,3,0.534826092
2009,Female,C,20-24,F,634410,4,0.630507085
2009,Female,C,25-34,F,1486467,8,0.538188873
2009,Female,C,35-44,F,1416832,6,0.423479989
2009,Female,C,45-54,F,1196924,3,0.25064248
2009,Female,C,55-64,F,877831,3,0.341751431
2009,Female,C,05-09,F,561323,0,0
2009,Female,C,65-74,F,470755,0,0
2009,Female,C,75-84,F,258589,1,0.386714052
2009,Female,C,85+,F,87803,0,0
2009,Female,C,10-14,E,532573,0,0
2009,Female,C,15-19,E,560930,0,0
2009,Female,C,20-24,E,634410,0,0
2009,Female,C,25-34,E,1486467,0,0
2009,Female,C,35-44,E,1416832,0,0
2009,Female,C,45-54,E,1196924,0,0
2009,Female,C,55-64,E,877831,0,0
2009,Female,C,05-09,E,561323,0,0
2009,Female,C,65-74,E,470755,0,0
2009,Female,C,75-84,E,258589,0,0
2009,Female,C,85+,E,87803,0,0
2009,Female,C,10-14,N,532573,0,0
2009,Female,C,15-19,N,560930,0,0
2009,Female,C,20-24,N,634410,0,0
2009,Female,C,25-34,N,1486467,1,0.067273609
2009,Female,C,35-44,N,1416832,0,0
2009,Female,C,45-54,N,1196924,3,0.25064248
2009,Female,C,55-64,N,877831,0,0
2009,Female,C,05-09,N,561323,0,0
2009,Female,C,65-74,N,470755,1,0.212424722
2009,Female,C,75-84,N,258589,0,0
2009,Female,C,85+,N,87803,0,0
2009,Female,C,10-14,O,532573,0,0
2009,Female,C,15-19,O,560930,0,0
2009,Female,C,20-24,O,634410,0,0
2009,Female,C,25-34,O,1486467,0,0
2009,Female,C,35-44,O,1416832,0,0
2009,Female,C,45-54,O,1196924,0,0
2009,Female,C,55-64,O,877831,0,0
2009,Female,C,05-09,O,561323,0,0
2009,Female,C,65-74,O,470755,0,0
2009,Female,C,75-84,O,258589,0,0
2009,Female,C,85+,O,87803,0,0
2009,Female,C,10-14,M,532573,0,0
2009,Female,C,15-19,M,560930,0,0
2009,Female,C,20-24,M,634410,0,0
2009,Female,C,25-34,M,1486467,1,0.067273609
2009,Female,C,35-44,M,1416832,0,0
2009,Female,C,45-54,M,1196924,1,0.083547493
2009,Female,C,55-64,M,877831,1,0.113917144
2009,Female,C,05-09,M,561323,0,0
2009,Female,C,65-74,M,470755,1,0.212424722
2009,Female,C,75-84,M,258589,1,0.386714052
2009,Female,C,85+,M,87803,0,0
2009,Female,C,10-14,B,532573,0,0
2009,Female,C,15-19,B,560930,0,0
2009,Female,C,20-24,B,634410,0,0
2009,Female,C,25-34,B,1486467,0,0
2009,Female,C,35-44,B,1416832,0,0
2009,Female,C,45-54,B,1196924,0,0
2009,Female,C,55-64,B,877831,0,0
2009,Female,C,05-09,B,561323,0,0
2009,Female,C,65-74,B,470755,0,0
2009,Female,C,75-84,B,258589,0,0
2009,Female,C,85+,B,87803,0,0
2009,Female,C,10-14,I,532573,1,0.187767686
2009,Female,C,15-19,I,560930,1,0.178275364
2009,Female,C,20-24,I,634410,3,0.472880314
2009,Female,C,25-34,I,1486467,5,0.336368046
2009,Female,C,35-44,I,1416832,4,0.282319993
2009,Female,C,45-54,I,1196924,6,0.50128496
2009,Female,C,55-64,I,877831,2,0.227834287
2009,Female,C,05-09,I,561323,0,0
2009,Female,C,65-74,I,470755,1,0.212424722
2009,Female,C,75-84,I,258589,1,0.386714052
2009,Female,C,85+,I,87803,3,3.416739747
2009,Female,C,10-14,J,532573,0,0
2009,Female,C,15-19,J,560930,2,0.356550728
2009,Female,C,20-24,J,634410,1,0.157626771
2009,Female,C,25-34,J,1486467,1,0.067273609
2009,Female,C,35-44,J,1416832,1,0.070579998
2009,Female,C,45-54,J,1196924,3,0.25064248
2009,Female,C,55-64,J,877831,0,0
2009,Female,C,05-09,J,561323,0,0
2009,Female,C,65-74,J,470755,0,0
2009,Female,C,75-84,J,258589,0,0
2009,Female,C,85+,J,87803,0,0
2009,Female,C,10-14,C,532573,0,0
2009,Female,C,15-19,C,560930,0,0
2009,Female,C,20-24,C,634410,0,0
2009,Female,C,25-34,C,1486467,0,0
2009,Female,C,35-44,C,1416832,0,0
2009,Female,C,45-54,C,1196924,1,0.083547493
2009,Female,C,55-64,C,877831,0,0
2009,Female,C,05-09,C,561323,0,0
2009,Female,C,65-74,C,470755,0,0
2009,Female,C,75-84,C,258589,0,0
2009,Female,C,85+,C,87803,0,0
2009,Female,C,10-14,K,532573,0,0
2009,Female,C,15-19,K,560930,0,0
2009,Female,C,20-24,K,634410,0,0
2009,Female,C,25-34,K,1486467,1,0.067273609
2009,Female,C,35-44,K,1416832,0,0
2009,Female,C,45-54,K,1196924,0,0
2009,Female,C,55-64,K,877831,0,0
2009,Female,C,05-09,K,561323,0,0
2009,Female,C,65-74,K,470755,1,0.212424722
2009,Female,C,75-84,K,258589,0,0
2009,Female,C,85+,K,87803,1,1.138913249
2009,Female,C,10-14,L,532573,0,0
2009,Female,C,15-19,L,560930,0,0
2009,Female,C,20-24,L,634410,0,0
2009,Female,C,25-34,L,1486467,0,0
2009,Female,C,35-44,L,1416832,1,0.070579998
2009,Female,C,45-54,L,1196924,0,0
2009,Female,C,55-64,L,877831,0,0
2009,Female,C,05-09,L,561323,0,0
2009,Female,C,65-74,L,470755,0,0
2009,Female,C,75-84,L,258589,0,0
2009,Female,C,85+,L,87803,0,0
2009,Female,D,10-14,P,1675398,0,0
2009,Female,D,15-19,P,1872421,0,0
2009,Female,D,20-24,P,1669196,0,0
2009,Female,D,25-34,P,3032924,0,0
2009,Female,D,35-44,P,2985333,0,0
2009,Female,D,45-54,P,3022312,0,0
2009,Female,D,55-64,P,2108842,0,0
2009,Female,D,05-09,P,1604711,0,0
2009,Female,D,65-74,P,1165689,0,0
2009,Female,D,75-84,P,667850,0,0
2009,Female,D,85+,P,273838,0,0
2009,Female,D,10-14,H,1675398,0,0
2009,Female,D,15-19,H,1872421,6,0.320440756
2009,Female,D,20-24,H,1669196,6,0.359454492
2009,Female,D,25-34,H,3032924,30,0.989144469
2009,Female,D,35-44,H,2985333,32,1.071907221
2009,Female,D,45-54,H,3022312,46,1.522013611
2009,Female,D,55-64,H,2108842,14,0.663871452
2009,Female,D,05-09,H,1604711,0,0
2009,Female,D,65-74,H,1165689,2,0.171572349
2009,Female,D,75-84,H,667850,1,0.149734222
2009,Female,D,85+,H,273838,0,0
2009,Female,D,10-14,G,1675398,12,0.716247721
2009,Female,D,15-19,G,1872421,19,1.014729059
2009,Female,D,20-24,G,1669196,16,0.958545312
2009,Female,D,25-34,G,3032924,22,0.725372611
2009,Female,D,35-44,G,2985333,15,0.50245651
2009,Female,D,45-54,G,3022312,12,0.397047029
2009,Female,D,55-64,G,2108842,1,0.047419389
2009,Female,D,05-09,G,1604711,0,0
2009,Female,D,65-74,G,1165689,2,0.171572349
2009,Female,D,75-84,G,667850,2,0.299468444
2009,Female,D,85+,G,273838,0,0
2009,Female,D,10-14,D,1675398,0,0
2009,Female,D,15-19,D,1872421,0,0
2009,Female,D,20-24,D,1669196,1,0.059909082
2009,Female,D,25-34,D,3032924,4,0.131885929
2009,Female,D,35-44,D,2985333,4,0.133988403
2009,Female,D,45-54,D,3022312,2,0.066174505
2009,Female,D,55-64,D,2108842,2,0.094838779
2009,Female,D,05-09,D,1604711,0,0
2009,Female,D,65-74,D,1165689,2,0.171572349
2009,Female,D,75-84,D,667850,1,0.149734222
2009,Female,D,85+,D,273838,0,0
2009,Female,D,10-14,F,1675398,0,0
2009,Female,D,15-19,F,1872421,7,0.373847548
2009,Female,D,20-24,F,1669196,13,0.778818066
2009,Female,D,25-34,F,3032924,25,0.824287058
2009,Female,D,35-44,F,2985333,15,0.50245651
2009,Female,D,45-54,F,3022312,24,0.794094058
2009,Female,D,55-64,F,2108842,6,0.284516336
2009,Female,D,05-09,F,1604711,0,0
2009,Female,D,65-74,F,1165689,3,0.257358524
2009,Female,D,75-84,F,667850,2,0.299468444
2009,Female,D,85+,F,273838,0,0
2009,Female,D,10-14,E,1675398,0,0
2009,Female,D,15-19,E,1872421,0,0
2009,Female,D,20-24,E,1669196,0,0
2009,Female,D,25-34,E,3032924,0,0
2009,Female,D,35-44,E,2985333,0,0
2009,Female,D,45-54,E,3022312,0,0
2009,Female,D,55-64,E,2108842,0,0
2009,Female,D,05-09,E,1604711,0,0
2009,Female,D,65-74,E,1165689,0,0
2009,Female,D,75-84,E,667850,0,0
2009,Female,D,85+,E,273838,0,0
2009,Female,D,10-14,N,1675398,0,0
2009,Female,D,15-19,N,1872421,0,0
2009,Female,D,20-24,N,1669196,0,0
2009,Female,D,25-34,N,3032924,0,0
2009,Female,D,35-44,N,2985333,1,0.033497101
2009,Female,D,45-54,N,3022312,0,0
2009,Female,D,55-64,N,2108842,2,0.094838779
2009,Female,D,05-09,N,1604711,0,0
2009,Female,D,65-74,N,1165689,0,0
2009,Female,D,75-84,N,667850,0,0
2009,Female,D,85+,N,273838,0,0
2009,Female,D,10-14,O,1675398,0,0
2009,Female,D,15-19,O,1872421,0,0
2009,Female,D,20-24,O,1669196,0,0
2009,Female,D,25-34,O,3032924,0,0
2009,Female,D,35-44,O,2985333,0,0
2009,Female,D,45-54,O,3022312,0,0
2009,Female,D,55-64,O,2108842,0,0
2009,Female,D,05-09,O,1604711,0,0
2009,Female,D,65-74,O,1165689,0,0
2009,Female,D,75-84,O,667850,0,0
2009,Female,D,85+,O,273838,0,0
2009,Female,D,10-14,M,1675398,0,0
2009,Female,D,15-19,M,1872421,0,0
2009,Female,D,20-24,M,1669196,1,0.059909082
2009,Female,D,25-34,M,3032924,0,0
2009,Female,D,35-44,M,2985333,2,0.066994201
2009,Female,D,45-54,M,3022312,2,0.066174505
2009,Female,D,55-64,M,2108842,1,0.047419389
2009,Female,D,05-09,M,1604711,0,0
2009,Female,D,65-74,M,1165689,2,0.171572349
2009,Female,D,75-84,M,667850,0,0
2009,Female,D,85+,M,273838,0,0
2009,Female,D,10-14,B,1675398,0,0
2009,Female,D,15-19,B,1872421,0,0
2009,Female,D,20-24,B,1669196,0,0
2009,Female,D,25-34,B,3032924,0,0
2009,Female,D,35-44,B,2985333,0,0
2009,Female,D,45-54,B,3022312,0,0
2009,Female,D,55-64,B,2108842,0,0
2009,Female,D,05-09,B,1604711,0,0
2009,Female,D,65-74,B,1165689,0,0
2009,Female,D,75-84,B,667850,0,0
2009,Female,D,85+,B,273838,0,0
2009,Female,D,10-14,I,1675398,0,0
2009,Female,D,15-19,I,1872421,0,0
2009,Female,D,20-24,I,1669196,3,0.179727246
2009,Female,D,25-34,I,3032924,7,0.230800376
2009,Female,D,35-44,I,2985333,1,0.033497101
2009,Female,D,45-54,I,3022312,3,0.099261757
2009,Female,D,55-64,I,2108842,3,0.142258168
2009,Female,D,05-09,I,1604711,0,0
2009,Female,D,65-74,I,1165689,1,0.085786175
2009,Female,D,75-84,I,667850,1,0.149734222
2009,Female,D,85+,I,273838,0,0
2009,Female,D,10-14,J,1675398,0,0
2009,Female,D,15-19,J,1872421,1,0.053406793
2009,Female,D,20-24,J,1669196,3,0.179727246
2009,Female,D,25-34,J,3032924,1,0.032971482
2009,Female,D,35-44,J,2985333,0,0
2009,Female,D,45-54,J,3022312,1,0.033087252
2009,Female,D,55-64,J,2108842,2,0.094838779
2009,Female,D,05-09,J,1604711,0,0
2009,Female,D,65-74,J,1165689,0,0
2009,Female,D,75-84,J,667850,0,0
2009,Female,D,85+,J,273838,0,0
2009,Female,D,10-14,C,1675398,0,0
2009,Female,D,15-19,C,1872421,0,0
2009,Female,D,20-24,C,1669196,0,0
2009,Female,D,25-34,C,3032924,0,0
2009,Female,D,35-44,C,2985333,0,0
2009,Female,D,45-54,C,3022312,1,0.033087252
2009,Female,D,55-64,C,2108842,1,0.047419389
2009,Female,D,05-09,C,1604711,0,0
2009,Female,D,65-74,C,1165689,0,0
2009,Female,D,75-84,C,667850,0,0
2009,Female,D,85+,C,273838,0,0
2009,Female,D,10-14,K,1675398,0,0
2009,Female,D,15-19,K,1872421,0,0
2009,Female,D,20-24,K,1669196,0,0
2009,Female,D,25-34,K,3032924,2,0.065942965
2009,Female,D,35-44,K,2985333,1,0.033497101
2009,Female,D,45-54,K,3022312,2,0.066174505
2009,Female,D,55-64,K,2108842,2,0.094838779
2009,Female,D,05-09,K,1604711,0,0
2009,Female,D,65-74,K,1165689,1,0.085786175
2009,Female,D,75-84,K,667850,0,0
2009,Female,D,85+,K,273838,1,0.365179413
2009,Female,D,10-14,L,1675398,0,0
2009,Female,D,15-19,L,1872421,0,0
2009,Female,D,20-24,L,1669196,0,0
2009,Female,D,25-34,L,3032924,1,0.032971482
2009,Female,D,35-44,L,2985333,0,0
2009,Female,D,45-54,L,3022312,1,0.033087252
2009,Female,D,55-64,L,2108842,0,0
2009,Female,D,05-09,L,1604711,0,0
2009,Female,D,65-74,L,1165689,0,0
2009,Female,D,75-84,L,667850,0,0
2009,Female,D,85+,L,273838,0,0
2009,Female,E,10-14,P,7700681,0,0
2009,Female,E,15-19,P,8180967,0,0
2009,Female,E,20-24,P,7987174,0,0
2009,Female,E,25-34,P,15442829,0,0
2009,Female,E,35-44,P,16160588,0,0
2009,Female,E,45-54,P,18311951,0,0
2009,Female,E,55-64,P,15172474,0,0
2009,Female,E,05-09,P,7530796,0,0
2009,Female,E,65-74,P,9654970,0,0
2009,Female,E,75-84,P,6624713,0,0
2009,Female,E,85+,P,3256878,0,0
2009,Female,E,10-14,H,7700681,4,0.051943458
2009,Female,E,15-19,H,8180967,33,0.403375298
2009,Female,E,20-24,H,7987174,80,1.001605825
2009,Female,E,25-34,H,15442829,239,1.547643893
2009,Female,E,35-44,H,16160588,590,3.650857258
2009,Female,E,45-54,H,18311951,868,4.740073846
2009,Female,E,55-64,H,15172474,587,3.868848284
2009,Female,E,05-09,H,7530796,0,0
2009,Female,E,65-74,H,9654970,191,1.978255758
2009,Female,E,75-84,H,6624713,99,1.494404361
2009,Female,E,85+,H,3256878,38,1.166761543
2009,Female,E,10-14,G,7700681,52,0.675264954
2009,Female,E,15-19,G,8180967,153,1.870194563
2009,Female,E,20-24,G,7987174,124,1.552489028
2009,Female,E,25-34,G,15442829,242,1.567070386
2009,Female,E,35-44,G,16160588,282,1.744986012
2009,Female,E,45-54,G,18311951,275,1.501751506
2009,Female,E,55-64,G,15172474,153,1.008405089
2009,Female,E,05-09,G,7530796,1,0.013278809
2009,Female,E,65-74,G,9654970,61,0.631798959
2009,Female,E,75-84,G,6624713,31,0.4679448
2009,Female,E,85+,G,3256878,26,0.798310529
2009,Female,E,10-14,D,7700681,0,0
2009,Female,E,15-19,D,8180967,2,0.024446988
2009,Female,E,20-24,D,7987174,4,0.050080291
2009,Female,E,25-34,D,15442829,5,0.032377487
2009,Female,E,35-44,D,16160588,24,0.148509448
2009,Female,E,45-54,D,18311951,27,0.147444693
2009,Female,E,55-64,D,15172474,25,0.164772073
2009,Female,E,05-09,D,7530796,0,0
2009,Female,E,65-74,D,9654970,10,0.1035736
2009,Female,E,75-84,D,6624713,9,0.135854942
2009,Female,E,85+,D,3256878,8,0.245634009
2009,Female,E,10-14,F,7700681,11,0.142844509
2009,Female,E,15-19,F,8180967,70,0.855644571
2009,Female,E,20-24,F,7987174,101,1.264527353
2009,Female,E,25-34,F,15442829,311,2.013879711
2009,Female,E,35-44,F,16160588,414,2.561787975
2009,Female,E,45-54,F,18311951,633,3.456758922
2009,Female,E,55-64,F,15172474,415,2.735216419
2009,Female,E,05-09,F,7530796,0,0
2009,Female,E,65-74,F,9654970,197,2.040399918
2009,Female,E,75-84,F,6624713,100,1.509499355
2009,Female,E,85+,F,3256878,25,0.767606278
2009,Female,E,10-14,E,7700681,0,0
2009,Female,E,15-19,E,8180967,0,0
2009,Female,E,20-24,E,7987174,0,0
2009,Female,E,25-34,E,15442829,0,0
2009,Female,E,35-44,E,16160588,0,0
2009,Female,E,45-54,E,18311951,1,0.005460915
2009,Female,E,55-64,E,15172474,0,0
2009,Female,E,05-09,E,7530796,0,0
2009,Female,E,65-74,E,9654970,0,0
2009,Female,E,75-84,E,6624713,0,0
2009,Female,E,85+,E,3256878,0,0
2009,Female,E,10-14,N,7700681,0,0
2009,Female,E,15-19,N,8180967,0,0
2009,Female,E,20-24,N,7987174,1,0.012520073
2009,Female,E,25-34,N,15442829,5,0.032377487
2009,Female,E,35-44,N,16160588,8,0.049503149
2009,Female,E,45-54,N,18311951,16,0.087374633
2009,Female,E,55-64,N,15172474,9,0.059317946
2009,Female,E,05-09,N,7530796,0,0
2009,Female,E,65-74,N,9654970,3,0.03107208
2009,Female,E,75-84,N,6624713,0,0
2009,Female,E,85+,N,3256878,1,0.030704251
2009,Female,E,10-14,O,7700681,0,0
2009,Female,E,15-19,O,8180967,0,0
2009,Female,E,20-24,O,7987174,0,0
2009,Female,E,25-34,O,15442829,0,0
2009,Female,E,35-44,O,16160588,0,0
2009,Female,E,45-54,O,18311951,0,0
2009,Female,E,55-64,O,15172474,0,0
2009,Female,E,05-09,O,7530796,0,0
2009,Female,E,65-74,O,9654970,0,0
2009,Female,E,75-84,O,6624713,0,0
2009,Female,E,85+,O,3256878,0,0
2009,Female,E,10-14,M,7700681,0,0
2009,Female,E,15-19,M,8180967,1,0.012223494
2009,Female,E,20-24,M,7987174,2,0.025040146
2009,Female,E,25-34,M,15442829,9,0.058279477
2009,Female,E,35-44,M,16160588,17,0.105194192
2009,Female,E,45-54,M,18311951,37,0.202053839
2009,Female,E,55-64,M,15172474,22,0.144999425
2009,Female,E,05-09,M,7530796,0,0
2009,Female,E,65-74,M,9654970,9,0.09321624
2009,Female,E,75-84,M,6624713,5,0.075474968
2009,Female,E,85+,M,3256878,1,0.030704251
2009,Female,E,10-14,B,7700681,0,0
2009,Female,E,15-19,B,8180967,0,0
2009,Female,E,20-24,B,7987174,0,0
2009,Female,E,25-34,B,15442829,0,0
2009,Female,E,35-44,B,16160588,0,0
2009,Female,E,45-54,B,18311951,0,0
2009,Female,E,55-64,B,15172474,0,0
2009,Female,E,05-09,B,7530796,0,0
2009,Female,E,65-74,B,9654970,0,0
2009,Female,E,75-84,B,6624713,0,0
2009,Female,E,85+,B,3256878,0,0
2009,Female,E,10-14,I,7700681,1,0.012985864
2009,Female,E,15-19,I,8180967,6,0.073340963
2009,Female,E,20-24,I,7987174,11,0.137720801
2009,Female,E,25-34,I,15442829,16,0.103607959
2009,Female,E,35-44,I,16160588,20,0.123757873
2009,Female,E,45-54,I,18311951,45,0.245741156
2009,Female,E,55-64,I,15172474,30,0.197726488
2009,Female,E,05-09,I,7530796,0,0
2009,Female,E,65-74,I,9654970,11,0.11393096
2009,Female,E,75-84,I,6624713,4,0.060379974
2009,Female,E,85+,I,3256878,4,0.122817005
2009,Female,E,10-14,J,7700681,0,0
2009,Female,E,15-19,J,8180967,6,0.073340963
2009,Female,E,20-24,J,7987174,3,0.037560218
2009,Female,E,25-34,J,15442829,15,0.097132462
2009,Female,E,35-44,J,16160588,13,0.080442618
2009,Female,E,45-54,J,18311951,20,0.109218291
2009,Female,E,55-64,J,15172474,15,0.098863244
2009,Female,E,05-09,J,7530796,0,0
2009,Female,E,65-74,J,9654970,6,0.06214416
2009,Female,E,75-84,J,6624713,1,0.015094994
2009,Female,E,85+,J,3256878,0,0
2009,Female,E,10-14,C,7700681,0,0
2009,Female,E,15-19,C,8180967,1,0.012223494
2009,Female,E,20-24,C,7987174,1,0.012520073
2009,Female,E,25-34,C,15442829,1,0.006475497
2009,Female,E,35-44,C,16160588,3,0.018563681
2009,Female,E,45-54,C,18311951,5,0.027304573
2009,Female,E,55-64,C,15172474,2,0.013181766
2009,Female,E,05-09,C,7530796,0,0
2009,Female,E,65-74,C,9654970,0,0
2009,Female,E,75-84,C,6624713,0,0
2009,Female,E,85+,C,3256878,0,0
2009,Female,E,10-14,K,7700681,1,0.012985864
2009,Female,E,15-19,K,8180967,3,0.036670482
2009,Female,E,20-24,K,7987174,4,0.050080291
2009,Female,E,25-34,K,15442829,10,0.064754975
2009,Female,E,35-44,K,16160588,15,0.092818405
2009,Female,E,45-54,K,18311951,25,0.136522864
2009,Female,E,55-64,K,15172474,12,0.079090595
2009,Female,E,05-09,K,7530796,0,0
2009,Female,E,65-74,K,9654970,5,0.0517868
2009,Female,E,75-84,K,6624713,3,0.045284981
2009,Female,E,85+,K,3256878,1,0.030704251
2009,Female,E,10-14,L,7700681,0,0
2009,Female,E,15-19,L,8180967,1,0.012223494
2009,Female,E,20-24,L,7987174,0,0
2009,Female,E,25-34,L,15442829,1,0.006475497
2009,Female,E,35-44,L,16160588,3,0.018563681
2009,Female,E,45-54,L,18311951,4,0.021843658
2009,Female,E,55-64,L,15172474,3,0.019772649
2009,Female,E,05-09,L,7530796,0,0
2009,Female,E,65-74,L,9654970,1,0.01035736
2009,Female,E,75-84,L,6624713,0,0
2009,Female,E,85+,L,3256878,0,0
2009,Male,B,10-14,P,184330,0,0
2009,Male,B,15-19,P,201012,0,0
2009,Male,B,20-24,P,185895,0,0
2009,Male,B,25-34,P,324093,0,0
2009,Male,B,35-44,P,283752,0,0
2009,Male,B,45-54,P,256854,0,0
2009,Male,B,55-64,P,158974,0,0
2009,Male,B,05-09,P,182844,0,0
2009,Male,B,65-74,P,73152,0,0
2009,Male,B,75-84,P,28072,0,0
2009,Male,B,85+,P,6834,0,0
2009,Male,B,10-14,H,184330,0,0
2009,Male,B,15-19,H,201012,1,0.497482737
2009,Male,B,20-24,H,185895,4,2.151752333
2009,Male,B,25-34,H,324093,8,2.468427272
2009,Male,B,35-44,H,283752,8,2.819363388
2009,Male,B,45-54,H,256854,5,1.94663116
2009,Male,B,55-64,H,158974,1,0.629033678
2009,Male,B,05-09,H,182844,0,0
2009,Male,B,65-74,H,73152,1,1.367016623
2009,Male,B,75-84,H,28072,0,0
2009,Male,B,85+,H,6834,0,0
2009,Male,B,10-14,G,184330,5,2.712526447
2009,Male,B,15-19,G,201012,27,13.43203391
2009,Male,B,20-24,G,185895,30,16.1381425
2009,Male,B,25-34,G,324093,32,9.87370909
2009,Male,B,35-44,G,283752,25,8.810510587
2009,Male,B,45-54,G,256854,16,6.229219712
2009,Male,B,55-64,G,158974,4,2.516134714
2009,Male,B,05-09,G,182844,0,0
