year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,B,15-19,D,5231008,2,0.038233549
All,Both,B,20-24,D,4785737,8,0.167163386
All,Both,B,25-34,D,8356215,4,0.047868563
All,Both,B,35-44,D,7887257,9,0.114108111
All,Both,B,45-54,D,6805546,6,0.088163389
All,Both,B,55-64,D,4192688,0,0
All,Both,B,05-09,D,4917122,0,0
All,Both,B,65-74,D,2065204,0,0
All,Both,B,75-84,D,910876,1,0.109784427
All,Both,B,85+,D,272812,0,0
All,Both,B,10-14,F,5150587,15,0.291228941
All,Both,B,15-19,F,5231008,309,5.9070833
All,Both,B,20-24,F,4785737,421,8.796973173
All,Both,B,25-34,F,8356215,497,5.947668891
All,Both,B,35-44,F,7887257,436,5.527904061
All,Both,B,45-54,F,6805546,349,5.128170466
All,Both,B,55-64,F,4192688,169,4.030827002
All,Both,B,05-09,F,4917122,0,0
All,Both,B,65-74,F,2065204,97,4.696872561
All,Both,B,75-84,F,910876,41,4.501161519
All,Both,B,85+,F,272812,10,3.665527909
All,Both,B,10-14,E,5150587,0,0
All,Both,B,15-19,E,5231008,0,0
All,Both,B,20-24,E,4785737,0,0
All,Both,B,25-34,E,8356215,0,0
All,Both,B,35-44,E,7887257,0,0
All,Both,B,45-54,E,6805546,1,0.014693898
All,Both,B,55-64,E,4192688,0,0
All,Both,B,05-09,E,4917122,0,0
All,Both,B,65-74,E,2065204,0,0
All,Both,B,75-84,E,910876,0,0
All,Both,B,85+,E,272812,0,0
All,Both,B,10-14,N,5150587,0,0
All,Both,B,15-19,N,5231008,1,0.019116774
All,Both,B,20-24,N,4785737,2,0.041790846
All,Both,B,25-34,N,8356215,6,0.071802844
All,Both,B,35-44,N,7887257,7,0.088750753
All,Both,B,45-54,N,6805546,4,0.058775593
All,Both,B,55-64,N,4192688,1,0.023851047
All,Both,B,05-09,N,4917122,0,0
All,Both,B,65-74,N,2065204,2,0.096842733
All,Both,B,75-84,N,910876,0,0
All,Both,B,85+,N,272812,0,0
All,Both,B,10-14,O,5150587,0,0
All,Both,B,15-19,O,5231008,0,0
All,Both,B,20-24,O,4785737,0,0
All,Both,B,25-34,O,8356215,0,0
All,Both,B,35-44,O,7887257,0,0
All,Both,B,45-54,O,6805546,0,0
All,Both,B,55-64,O,4192688,0,0
All,Both,B,05-09,O,4917122,0,0
All,Both,B,65-74,O,2065204,0,0
All,Both,B,75-84,O,910876,0,0
All,Both,B,85+,O,272812,0,0
All,Both,B,10-14,M,5150587,0,0
All,Both,B,15-19,M,5231008,3,0.057350323
All,Both,B,20-24,M,4785737,12,0.250745079
All,Both,B,25-34,M,8356215,19,0.227375672
All,Both,B,35-44,M,7887257,18,0.228216223
All,Both,B,45-54,M,6805546,18,0.264490167
All,Both,B,55-64,M,4192688,8,0.190808379
All,Both,B,05-09,M,4917122,0,0
All,Both,B,65-74,M,2065204,2,0.096842733
All,Both,B,75-84,M,910876,0,0
All,Both,B,85+,M,272812,0,0
All,Both,B,10-14,B,5150587,0,0
All,Both,B,15-19,B,5231008,0,0
All,Both,B,20-24,B,4785737,0,0
All,Both,B,25-34,B,8356215,0,0
All,Both,B,35-44,B,7887257,0,0
All,Both,B,45-54,B,6805546,0,0
All,Both,B,55-64,B,4192688,0,0
All,Both,B,05-09,B,4917122,0,0
All,Both,B,65-74,B,2065204,0,0
All,Both,B,75-84,B,910876,0,0
All,Both,B,85+,B,272812,0,0
All,Both,B,10-14,I,5150587,0,0
All,Both,B,15-19,I,5231008,10,0.191167744
All,Both,B,20-24,I,4785737,12,0.250745079
All,Both,B,25-34,I,8356215,17,0.203441391
All,Both,B,35-44,I,7887257,15,0.190180186
All,Both,B,45-54,I,6805546,9,0.132245084
All,Both,B,55-64,I,4192688,2,0.047702095
All,Both,B,05-09,I,4917122,0,0
All,Both,B,65-74,I,2065204,0,0
All,Both,B,75-84,I,910876,0,0
All,Both,B,85+,I,272812,0,0
All,Both,B,10-14,J,5150587,3,0.058245788
All,Both,B,15-19,J,5231008,12,0.229401293
All,Both,B,20-24,J,4785737,20,0.417908464
All,Both,B,25-34,J,8356215,28,0.335079938
All,Both,B,35-44,J,7887257,14,0.177501507
All,Both,B,45-54,J,6805546,8,0.117551185
All,Both,B,55-64,J,4192688,4,0.095404189
All,Both,B,05-09,J,4917122,0,0
All,Both,B,65-74,J,2065204,0,0
All,Both,B,75-84,J,910876,0,0
All,Both,B,85+,J,272812,0,0
All,Both,B,10-14,C,5150587,0,0
All,Both,B,15-19,C,5231008,3,0.057350323
All,Both,B,20-24,C,4785737,5,0.104477116
All,Both,B,25-34,C,8356215,7,0.083769984
All,Both,B,35-44,C,7887257,2,0.025357358
